Id_seller,Name_shop,rank,followers,Positive_Feedback,since,Described,Communication,Shipping Speed
1102782316,Seller: WHEN BLOSSOMS Store,0,145,"Positive Feedback (Past 6 months):
92.5%",AliExpress Seller Since: 19 Apr 2023,4.6(53 ratings)6.96% Higher,4.5(42 ratings)3.29% Higher,4.6(42 ratings)3.87% Higher
1102455058,Seller: Lyan Store,0,216,"Positive Feedback (Past 6 months):
96.1%",AliExpress Seller Since: 15 Nov 2022,4.6(597 ratings)6.06% Higher,4.6(566 ratings)4.52% Higher,4.6(566 ratings)3.04% Higher
911414669,Seller: Four Seasons Tactical Outdoor Store,0,348,"Positive Feedback (Past 6 months):
93.1%",AliExpress Seller Since: 25 Jan 2021,4.2(35 ratings)9.83% Lower,4.2(33 ratings)10.00% Lower,3.9(33 ratings)16.47% Lower
1905240,Seller: leisure comfortable clothes Store,0,1800,"Positive Feedback (Past 6 months):
91.8%",AliExpress Seller Since: 13 Aug 2015,4.5(251 ratings)3.27% Higher,4.5(211 ratings)3.56% Higher,4.6(211 ratings)3.58% Higher
910334256,Seller: dropshipping secret Store,0,7888,"Positive Feedback (Past 6 months):
85.1%",AliExpress Seller Since: 09 Aug 2020,4.2(4679 ratings)4.83% Lower,4.3(4401 ratings)4.52% Lower,4.4(4401 ratings)2.97% Lower
912707029,Seller: Loving Buying Store,0,2721,"Positive Feedback (Past 6 months):
88.1%",AliExpress Seller Since: 14 Dec 2021,4.4(380 ratings)5.42% Lower,4.5(364 ratings)2.74% Lower,4.5(364 ratings)3.34% Lower
1102166687,Seller: ASR4 Store,0,433,"Positive Feedback (Past 6 months):
93.0%",AliExpress Seller Since: 03 Jul 2022,4.5(298 ratings)4.15% Higher,4.5(288 ratings)3.38% Higher,4.5(288 ratings)1.36% Higher
1102648898,Seller: PATELIS Official Store,0,300,"Positive Feedback (Past 6 months):
97.2%",AliExpress Seller Since: 20 Feb 2023,4.8(371 ratings)9.49% Higher,4.8(367 ratings)9.61% Higher,4.8(367 ratings)7.40% Higher
1103304757,Seller: Shop1103304757 Store,0,30,"Positive Feedback (Past 6 months):
100.0%",AliExpress Seller Since: 19 Nov 2023,,,
4416026,Seller: Tactical Clothes Factory Store Store,1,7411,"Positive Feedback (Past 6 months):
96.0%",AliExpress Seller Since: 09 Jul 2018,4.7(1168 ratings)9.29% Higher,4.8(1094 ratings)8.72% Higher,4.8(1094 ratings)7.54% Higher
911748853,Seller: YU 123456 Store,0,2585,"Positive Feedback (Past 6 months):
89.2%",AliExpress Seller Since: 24 Mar 2021,4.3(2996 ratings)5.97% Lower,4.3(2467 ratings)6.29% Lower,4.4(2467 ratings)5.58% Lower
912663371,Seller: VIYOO Store,0,1929,"Positive Feedback (Past 6 months):
91.9%",AliExpress Seller Since: 22 Nov 2021,4.5(365 ratings)4.54% Higher,4.6(337 ratings)4.00% Higher,4.7(337 ratings)4.09% Higher
640002,Seller: UNION ARMY Official Store,1,44.2K,"Positive Feedback (Past 6 months):
95.9%",AliExpress Seller Since: 27 Oct 2013,4.7(3515 ratings)7.17% Higher,4.6(3050 ratings)5.94% Higher,4.6(3050 ratings)3.31% Higher
1102153956,Seller: Td Tutu Store,0,402,"Positive Feedback (Past 6 months):
96.7%",AliExpress Seller Since: 26 Jun 2022,4.6(263 ratings)5.74% Higher,4.6(219 ratings)5.30% Higher,4.6(219 ratings)3.18% Higher
1102922740,Seller: LUSMAN Official Store,0,119,"Positive Feedback (Past 6 months):
95.1%",AliExpress Seller Since: 04 Jul 2023,4.7(151 ratings)7.28% Higher,4.6(132 ratings)4.98% Higher,4.7(132 ratings)5.75% Higher
1971456,Seller: BeckyWalk Store,0,3277,"Positive Feedback (Past 6 months):
87.4%",AliExpress Seller Since: 04 Dec 2015,4.3(515 ratings)1.13% Lower,4.3(482 ratings)1.62% Lower,4.4(482 ratings)1.05% Lower
1102685139,Seller: AngelElegant Store,0,213,"Positive Feedback (Past 6 months):
88.7%",AliExpress Seller Since: 05 Mar 2023,4.3(865 ratings)0.51% Lower,4.3(801 ratings)2.28% Lower,4.4(801 ratings)1.10% Lower
1102977169,Seller: TAUVSEDI Store,0,111,"Positive Feedback (Past 6 months):
96.3%",AliExpress Seller Since: 14 Jul 2023,4.6(90 ratings)5.74% Higher,4.6(82 ratings)4.41% Higher,4.7(82 ratings)5.86% Higher
1102597660,Seller: My Love Men Wear Store,0,2,"Positive Feedback (Past 6 months):
100.0%",AliExpress Seller Since: 03 Feb 2023,,,
911818357,Seller: Zhengqin Clothes Store,0,400,"Positive Feedback (Past 6 months):
97.0%",AliExpress Seller Since: 13 Apr 2021,4.7(103 ratings)8.27% Higher,4.8(77 ratings)9.70% Higher,4.8(77 ratings)7.20% Higher
